#SCREEN_ID	SOURCE_ID	SOURCE_TYPE	AUTHOR	SCREEN_NAME	SCORES_SIZE	FULL_SIZE	FULL_SIZE_AVAILABLE	NUMBER_OF_HITS	ANALYSIS	SIGNIFICANCE_INDICATOR	SIGNIFICANCE_CRITERIA	THROUGHPUT	SCREEN_TYPE	SCREEN_FORMAT	EXPERIMENTAL_SETUP	DURATION	CONDITION_NAME	CONDITION_DOSAGE	MOI	LIBRARY	LIBRARY_TYPE	LIBRARY_METHODOLOGY	ENZYME	CELL_LINE	CELL_TYPE	PHENOTYPE	SCORE_COL_COUNT	SCORE.1_TYPE	SCORE.2_TYPE	SCORE.3_TYPE	SCORE.4_TYPE	SCORE.5_TYPE	ORGANISM_ID	ORGANISM_OFFICIAL	NOTES	SOURCE	SCREEN_RATIONALE
579	27760321	pubmed	Tzelepis K (2016)	9-PMID27760321	18424	18424	Yes	1680	MaGeCK	Score Significance	Score.2 (FDR) < 0.1	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	-	Mouse improved genome-wide library v2	CRISPRn	Knockout	Cas9	JM8.F6	Embryonic Stem Cell Line	cell proliferation	2	MaGeCK Score	FDR	-	-	-	10090	M. musculus	Depleted genes were identified at a cutoff of FDR 10% (FDR < 0.1).	BioGRID ORCS	Cell-essential genes
599	28723893	pubmed	Manguso RT (2017)	1-PMID28723893	455	2368	No	62	STARS	Score Significance	Score.3 (FDR) < 0.1	High Throughput	Phenotype Screen	in vivo	Implantation to Mouse Model	12 Days	Immunotherapy (GVAX + PD-1 blockade)	-	-	CRISPRn Targeted Library (Haining, 2017)	CRISPRn	Knockout	Cas9	B16-F10	Melanoma Cell Line	tumorigenicity	4	STARS Score	p-Value	FDR	q-Value	-	10090	M. musculus	sgRNAs that are significantly depleted from tumours treated with immunotherapy ( GVAX + PD-1 blockade) relative to TCRalpha KO mice which are unable to apply adaptive immune-selective pressure on the tumours,  indicate that loss of the targeted gene increased the sensitivity of tumour cells to immune attack|The immunotherapy consisted of animals injected with tumour cells being treated with a granulocyte-macrophage colony-stimulating factor (GM-CSF)-secreting, irradiated tumour cell vaccine (GVAX) combined with PD-1 blockade using a monoclonal antibody against PD-1 to generate an adaptive immune response sufficient to apply immune-selective pressure on the tumour cells	BioGRID ORCS	Tumorigenicity in presence of immunotherapy
615	28723893	pubmed	Manguso RT (2017)	2-PMID28723893	436	2368	No	38	STARS	Score Significance	Score.3 (FDR) < 0.1	High Throughput	Phenotype Screen	in vivo	Implantation to Mouse Model	12 Days	Immunotherapy (GVAX + PD-1 blockade)	-	-	CRISPRn Targeted Library (Haining, 2017)	CRISPRn	Knockout	Cas9	B16-F10	Melanoma Cell Line	tumorigenicity	4	STARS Score	p-Value	FDR	q-Value	-	10090	M. musculus	sgRNAs that are significantly enriched from tumours treated with immunotherapy ( GVAX + PD-1 blockade) relative to TCRalpha KO mice which are unable to apply adaptive immune-selective pressure on the tumours,  indicate that loss of the targeted gene decreased the sensitivity of tumour cells to immune attack|The immunotherapy consisted of animals injected with tumour cells being treated with a granulocyte-macrophage colony-stimulating factor (GM-CSF)-secreting, irradiated tumour cell vaccine (GVAX) combined with PD-1 blockade using a monoclonal antibody against PD-1 to generate an adaptive immune response sufficient to apply immune-selective pressure on the tumour cells	BioGRID ORCS	Tumorigenicity in presence of immunotherapy
616	28723893	pubmed	Manguso RT (2017)	3-PMID28723893	454	2368	No	55	STARS	Score Significance	Score.3 (FDR) < 0.1	High Throughput	Phenotype Screen	in vivo	Implantation to Mouse Model	12 Days	Immunotherapy (GVAX only)	-	-	CRISPRn Targeted Library (Haining, 2017)	CRISPRn	Knockout	Cas9	B16-F10	Melanoma Cell Line	tumorigenicity	4	STARS Score	p-Value	FDR	q-Value	-	10090	M. musculus	sgRNAs that are significantly depleted from tumours treated with the immunotherapy cancer vaccine GVAX relative to TCRalpha KO mice which lack CD4+ and CD8+ T cells and are unable to apply adaptive immune-selective pressure on the tumours,  indicate that loss of the targeted gene increased the sensitivity of tumour cells to GVAX|GVAX is a vaccine composed of whole tumor cells genetically modified to secrete the immune stimulatory cytokine, granulocyte-macrophage colony-stimulating factor (GM-CSF), and then irradiated to prevent further cell division to generate an adaptive immune response sufficient to apply immune-selective pressure on tumour cells	BioGRID ORCS	Tumorigenicity in presence of immunotherapy
617	28723893	pubmed	Manguso RT (2017)	4-PMID28723893	456	2368	No	17	STARS	Score Significance	Score.3 (FDR) < 0.1	High Throughput	Phenotype Screen	in vivo	Implantation to Mouse Model	12 Days	Immunotherapy (GVAX only)	-	-	CRISPRn Targeted Library (Haining, 2017)	CRISPRn	Knockout	Cas9	B16-F10	Melanoma Cell Line	tumorigenicity	4	STARS Score	p-Value	FDR	q-Value	-	10090	M. musculus	sgRNAs that are significantly enriched in tumours treated with the immunotherapy cancer vaccine GVAX relative to TCRalpha KO mice which lack CD4+ and CD8+ T cells and are unable to apply adaptive immune-selective pressure on the tumours,  indicate that loss of the targeted gene decreased the sensitivity of tumour cells to GVAX|GVAX is a vaccine composed of whole tumor cells genetically modified to secrete the immune stimulatory cytokine, granulocyte-macrophage colony-stimulating factor (GM-CSF), and then irradiated to prevent further cell division to generate an adaptive immune response sufficient to apply immune-selective pressure on tumour cells	BioGRID ORCS	Tumorigenicity in presence of immunotherapy
684	29478914	pubmed	Yamauchi T (2018)	1-PMID29478914	1714	20611	No	1714	MaGeCK	All Significant	-	High Throughput	Negative Selection	Pool	Timecourse	16 Days	-	-	-	GECKO v2 (mouse)	CRISPRn	Knockout	Cas9	MLL/AF9 Cas9	Acute Myeloid Leukemia Cell Line	cell proliferation	1	FDR	-	-	-	-	10090	M. musculus	authors reported genes that met a cut-off of FDR<0.25 as determined my Mageck	BioGRID ORCS	Cell-essential genes
685	29478914	pubmed	Yamauchi T (2018)	2-PMID29478914	1722	20611	No	1722	MaGeCK	All Significant	-	High Throughput	Negative Selection	Pool	Timecourse	16 Days	-	-	-	GECKO v2 (mouse)	CRISPRn	Knockout	Cas9	CALM/AF10 Cas9	Acute Myeloid Leukemia Cell Line	cell proliferation	1	FDR	-	-	-	-	10090	M. musculus	authors reported genes that met a cut-off of FDR<0.25 as determined my Mageck	BioGRID ORCS	Cell-essential genes
687	30797773	pubmed	Codina A (2019)	1-PMID30797773	19590	19590	Yes	9	MaGeCK	Column Significance	-	High Throughput	Positive Selection	in vivo	Implantation to Mouse Model	90 Days	-	-	~ 0.3	Brie (mouse)	CRISPRn	Knockout	Cas9	IMC9	Immortal Mouse Liver-derived Cell Line	tumorigenicity	4	MaGeCK Score	p-Value	FDR	Log2FC	-	10090	M. musculus	a p53-/-;Myc-primed mouse hepatocyte cell line  was transfected with the Brie CRISPR library and implanted into a Nu/Nu mouse background. Genes whose knockout induced tumor formation based on the results of 3 separate analyses methods (RIGER, 3-way HitCaller and MAGECK) were considered high confidence screen hits	BioGRID ORCS	Tumorigenicity
688	30797773	pubmed	Codina A (2019)	2-PMID30797773	21288	21288	Yes	4	MaGeCK	Column Significance	-	High Throughput	Positive Selection	in vivo	Implantation to Mouse Model	90 Days	-	-	~ 0.3	GECKO v2 (mouse)	CRISPRn	Knockout	Cas9	IMC9	Immortal Mouse Liver-derived Cell Line	tumorigenicity	4	MaGeCK Score	p-Value	FDR	Log2FC	-	10090	M. musculus	a p53-/-;Myc-primed mouse hepatocyte cell line  was transfected with the mGECKO CRISPR library and implanted into a Nu/Nu mouse background. Genes whose knockout induced tumor formation based on the results of 3 separate analyses methods (RIGER, 3-way HitCaller and MAGECK) were considered high confidence screen hits	BioGRID ORCS	Tumorigenicity
690	30905739	pubmed	Yang J (2019)	1-PMID30905739	142	19994	No	142	None	All Significant	-	High Throughput	Phenotype Screen	Pool	Timecourse	16 Days	-	-	= 0.3	CRISPRa (Metzakopian, 2019)	CRISPRa	Activation	SAM (NLS-dCas9-VP64/MS2-p65-HSF1)	EpiSC (primed epiblast)	Mouse cell	protein/peptide accumulation	1	Read counts	-	-	-	-	10090	M. musculus	authors used an Oct4-GFP reporter and maintained Oct4 expression to determine reprogramming state	BioGRID ORCS	Activation of the gene induces reprogramming in a differentiated cell
1043	31253397	pubmed	Yazawa R (2019)	1-PMID31253397	698	18424	No	698	None	All Significant	-	High Throughput	Phenotype Screen	Pool	Timecourse	24 Hours	Starvation	-	-	Mouse improved genome-wide library v2	CRISPRn	Knockout	Cas9	MEF	Embryonic Fibroblast Cell Line	autophagy	1	Read counts	-	-	-	-	10090	M. musculus	Cas9 MEF cells expressing a tagged autophagy reporter (pHlurin-LC3-mCherry) were transduced with  the genome-wide gRNA library and starved. Cells with a high pHluorin/mCherry ratio, indicating the impairment of autophagic flux, were enriched and next-generation sequencing (NGS)  was used to identify integrated gRNA region which identified 1303 genes  involved in autophagic activity in two replicate experiments	BioGRID ORCS	Regulators of autophagy
1044	31253397	pubmed	Yazawa R (2019)	2-PMID31253397	909	18424	No	909	None	All Significant	-	High Throughput	Phenotype Screen	Pool	Timecourse	24 Hours	Starvation	-	-	Mouse improved genome-wide library v2	CRISPRn	Knockout	Cas9	MEF	Embryonic Fibroblast Cell Line	autophagy	1	Read counts	-	-	-	-	10090	M. musculus	Cas9 MEF cells expressing a tagged autophagy reporter (pHlurin-LC3-mCherry) were transduced with  the genome-wide gRNA library and starved. Cells with a high pHluorin/mCherry ratio, indicating the impairment of autophagic flux, were enriched and next-generation sequencing (NGS)  was used to identify integrated gRNA region which identified 1303 genes  involved in autophagic activity in two replicate experiments	BioGRID ORCS	Regulators of autophagy
1047	30932271	pubmed	Yu JSL (2019)	1-PMID30932271	18424	18424	Yes	14	MaGeCK	Score Significance	Score.1 (Depletion-Enrichment (DE) score) > 3.0	High Throughput	Phenotype Screen	Pool	Timecourse	17 Days	Reprogramming conditions (5% O2, 2 μM SB431542/Alk5i)	-	= 0.3	Mouse improved genome-wide library v2	CRISPRn	Knockout	Cas9	primary cultured fibroblast	Mouse cell	protein/peptide accumulation	3	Depletion-Enrichment (DE) score	p-Value	p-Value	-	-	10090	M. musculus	Authors screened Cas9 expressing primary cultured mouse cardiac fibroblasts for genes effecting the reprogramming of differentiated fibroblasts into multi-potent progenitor cells using the progenitor cell marker Nkx2-5 as a reporter|Authors used a MaGeCK derived p-values to generate a depletion-enrichment (DE) score for each gene. A positive DE score indicates that loss of that particular gene is advantageous for reprogramming.	BioGRID ORCS	Regulators of reprogramming and differentiation
1077	30595499	pubmed	Villegas F (2019)	1-PMID30595499	19138	19138	Yes	18	MaGeCK	Score Significance	Score.3 (FDR) < 0.25	High Throughput	Phenotype Screen	Pool	Timecourse	3 Days	Differentiation conditions (absence of 2i)	-	= 0.25	Murine lentiviral gRNA library (version 1)	CRISPRn	Knockout	Cas9	RGd2 ES	Mouse Embryonic Stem Cell	protein/peptide accumulation	3	MaGeCK Score	p-Value	FDR	-	-	10090	M. musculus	authors used the presence of GFP-tagged Rex1 (a self-renewing ESC reporter) to screen for genes whose loss prevented differentiation	BioGRID ORCS	Regulators of differentiation
1087	31744829	pubmed	Li F (2019)	1-PMID31744829	727	727	Yes	75	MaGeCK	Score Significance	Score.2 (p-Value) < 0.05 OR Score.4 (p-Value) < 0.05	High Throughput	Phenotype Screen	in vivo	Implantation to Mouse Model	24 Days	-	-	= 0.2	Targeted epigenetic regulator library  (Wong, 2019)	CRISPRn	Knockout	Cas9	KP-Cas9-Clone 7	Lung Cancer Cell Line	tumorigenicity	5	MaGeCK Score	p-Value	MaGeCK Score	p-Value	Log2FC	10090	M. musculus	-	BioGRID ORCS	Cancer cell response to immune response
1089	31744829	pubmed	Li F (2019)	2-PMID31744829	727	727	Yes	74	MaGeCK	Score Significance	Score.2 (p-Value) < 0.05 OR Score.4 (p-Value) < 0.05	High Throughput	Phenotype Screen	in vivo	Implantation to Mouse Model	24 Days	Anti–PD-1	-	= 0.2	Targeted epigenetic regulator library  (Wong, 2019)	CRISPRn	Knockout	Cas9	KP-Cas9-Clone 7	Lung Cancer Cell Line	tumorigenicity	5	MaGeCK Score	p-Value	MaGeCK Score	p-Value	Log2FC	10090	M. musculus	-	BioGRID ORCS	cancer cell response to anti-PD-1 immunotherapy
1130	29459677	pubmed	Breslow DK (2018)	1-PMID29459677	20898	20898	Yes	472	CasTLE	Score Significance	Score.4 (FDR) = 1.0	High Throughput	Phenotype Screen	Pool	Ligand Exposure	5 Days	Sonic hedgehog protein (mouse)	-	~ 0.3	Bassik Mouse CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NIH 3T3	Embryonic Fibroblast Cell Line	regulation of signal transduction phenotype	4	CRISPR Score (CS)	CasTLE Effect	p-Value	FDR	-	10090	M. musculus	The authors screened for genes affecting ciliary Hh signaling using a  a reporter that converts Hh signaling into antibiotic resistance. Genes with a positive CasTLE effect increase Hh pathway signaling while genes with a negative CasTLE effect decrease Hh pathway signaling	BioGRID ORCS	Regulators of Hh signaling pathway
1133	29769725	pubmed	Zhang R (2018)	1-PMID29769725	21545	21545	Yes	1118	MaGeCK	Score Significance	Score.2 (p-Value) < 0.05	High Throughput	Positive Selection	Pool	Virus Exposure	24 Hours	Virus: CHIKV (Chikungunya virus)	1 MOI	= 0.3	GECKO v2 (mouse)	CRISPRn	Knockout	Cas9	NIH 3T3	Embryonic Fibroblast Cell Line	response to virus	3	MaGeCK Score	p-Value	FDR	-	-	10090	M. musculus	Phenotypic readout: cell proliferation|CHIKV is short for Chikungunya virus strain Senegal 37997	BioGRID ORCS	Increased resistance to virus
1152	31209294	pubmed	Fu X (2019)	1-PMID31209294	20664	20664	Yes	486	MaGeCK	Score Significance	Score.2 (neg score p-value) < 0.01 OR Score.4 (pos score p-value) < 0.01	High Throughput	Phenotype Screen	Pool	Other	1 Days	Dux gene induction	-	-	Brie (mouse)	CRISPRn	Knockout	Cas9	Mouse Embryonic Stem Cell	Embryonic Cell Line	protein/peptide accumulation	5	MAGeCK neg score	neg score p-value	MAGeCK pos score	pos score p-value	Log2FC	10090	M. musculus	Genes whose KO results in a negative MAGeCK score associated with a significant p-value are depleted in the totipotent population, suggesting they are positive regulators of totipotency.|Genes whose KO results in a positive MAGeCK score associated with a significant p-value are enriched in the totipotent population, suggesting they are negative regulators of totipotency.	BioGRID ORCS	Regulators of totipotency
1157	29301958	pubmed	Pan D (2018)	1-PMID29301958	325	19674	No	325	MaGeCK	Score Significance	Score.2 (p-Value) < 0.05 OR Score.4 (p-Value) < 0.05	High Throughput	Positive and Negative Selection	Pool	T cell exposure	3 Days	Pmel-1 T cells	-	= 0.06	Brie (mouse)	CRISPRn	Knockout	Cas9	B16-F10	Melanoma Cell Line	cell proliferation	5	Log2	p-Value	FDR	p-Value	FDR	10090	M. musculus	Phenotypic readout: cell proliferation|The authors screened for gene knockouts in a melanoma cell line that affect sensitivity to killing by cytotoxic Pmel-1 T cells, which have a relatively low TCR affinity for an endogenous melanoma antigen|Knock out of genes with a positive log fold change score results in increased resistance to Pmel-1 T cells. A negative log fold change score indicates that knock out of the gene resulted in increased sensitivity to Pmel-1 cells	BioGRID ORCS	Tumor response to cytotoxic T-cells
1158	29301958	pubmed	Pan D (2018)	2-PMID29301958	174	19674	No	174	MaGeCK	Score Significance	Score.2 (p-Value) < 0.05 OR Score.4 (p-Value) < 0.05	High Throughput	Positive and Negative Selection	Pool	T cell exposure	1 Days	OT-I T cells	-	= 0.06	Brie (mouse)	CRISPRn	Knockout	Cas9	B16-F10	Melanoma Cell Line	cell proliferation	5	Log2	p-Value	FDR	p-Value	FDR	10090	M. musculus	Phenotypic readout: cell proliferation|The authors screened for gene knockouts in a melanoma cell line that conferred increased resistance to killing by cytotoxic OT-I T cells, which have a high TCR affinity for an endogenous melanoma antigen|Knock out of genes with a positive log fold change score results in increased resistance to OT-I T cells. A negative log fold change score indicates that knock out of the gene resulted in increased sensitivity to OT-I T cells	BioGRID ORCS	Tumor response to cytotoxic T-cells
1197	28768188	pubmed	Okada M (2017)	1-PMID28768188	100	19150	No	42	FDR	Score Significance	Score.1 (FDR) < 0.15	High Throughput	Phenotype Screen	Pool	Timecourse	10 Days	-	-	= 0.5	Murine lentiviral gRNA library (version 1)	CRISPRn	Knockout	Cas9	68-41-Cas9	T cell	protein/peptide accumulation	1	FDR	-	-	-	-	10090	M. musculus	T cell exhaustion is associated with high expression of PD-1|KO of hit genes leads to low PD-1 expression, suggesting the gene normally activates PD-1 expression, contributing to T cell exhaustion	BioGRID ORCS	Regulators of PD-1 expression
1259	32968282	pubmed	Lawson KA (2020)	1-PMID32968282	19466	19466	Yes	1865	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	15 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	RenCa	Mouse kidney carcinoma cell	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
1260	32968282	pubmed	Lawson KA (2020)	2-PMID32968282	19466	19466	Yes	1982	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	24 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	RenCa	Mouse kidney carcinoma cell	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
1261	32968282	pubmed	Lawson KA (2020)	3-PMID32968282	19466	19466	Yes	1912	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	4T1	Breast Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
1262	32968282	pubmed	Lawson KA (2020)	4-PMID32968282	19466	19466	Yes	1888	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	25 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	4T1	Breast Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
1263	32968282	pubmed	Lawson KA (2020)	5-PMID32968282	19466	19466	Yes	1989	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	11 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	CT26	Colonic Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
1264	32968282	pubmed	Lawson KA (2020)	6-PMID32968282	19466	19466	Yes	2141	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	17 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	CT26	Colonic Cancer Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
1265	32968282	pubmed	Lawson KA (2020)	7-PMID32968282	19466	19466	Yes	1743	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	11 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	EMT6	Mammary Gland Tumor Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
1266	32968282	pubmed	Lawson KA (2020)	8-PMID32968282	19466	19466	Yes	1907	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	19 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	EMT6	Mammary Gland Tumor Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
1267	32968282	pubmed	Lawson KA (2020)	9-PMID32968282	19466	19466	Yes	1736	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	12 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	MC38-OVA	Colonic Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
1268	32968282	pubmed	Lawson KA (2020)	10-PMID32968282	19466	19466	Yes	1713	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	15 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	MC38-OVA	Colonic Adenocarcinoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
1269	32968282	pubmed	Lawson KA (2020)	11-PMID32968282	19466	19466	Yes	1919	BAGEL	Score Significance	Score.1 (Bayes Factor) > 5.0	High Throughput	Negative Selection	Pool	Timecourse	13 Days	-	-	~ 0.5	mTKO (mouseTKO)	CRISPRn	Knockout	Cas9	B16-MO4	Melanoma Cell Line	cell proliferation	1	Bayes Factor	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
